comment_text,aspect,sentiment
I WAS HERE 🌴,Trailer & Hype,1.0
Holy mother fucker I’m having a stroke,Trailer & Hype,1.0
i was so fucking confused when i clicked on the premiere notification and the trailer started playing a day early LMAO,Trailer & Hype,1.0
Bro this shit looks AMAZING,Trailer & Hype,1.0
"Wow I'm especially impressed by the character models, they look SO good!",Plot and Character,1.0
They just released it earlier due to the leaks,Rilis Game,-1.0
My expectations were high but holy shit dude,Trailer & Hype,1.0
2025 oh damn!!!!!! 😅😅😅😅,Rilis Game,-1.0
\#trailerdayog,Trailer & Hype,1.0
damn,Trailer & Hype,-1.0
We made it people! it looks fucking amazing!!   Sucks its over a year away.,Trailer & Hype,1.0
Cool,Trailer & Hype,1.0
Why did they premiere it so early,Rilis Game,-1.0
LETS FUCKING GO,Trailer & Hype,1.0
Bah that’s it. Not sure I liked what I saw,Trailer & Hype,-1.0
Yeah man I just seen it it’s fire 🔥,Trailer & Hype,1.0
"Dude no way they dropped it early!! Looks amazing, 2025 though :(",Rilis Game,1.0
Holy fucking shit.,Trailer & Hype,1.0
Wellll that was unexpected :D,Trailer & Hype,1.0
I was not expecting it to be released early. Wow. 2025. I was hoping for 2024. Damn.,Rilis Game,-1.0
Awesome!,Trailer & Hype,1.0
We made it.,Trailer & Hype,1.0
"""GTA VI Trailer, do you know why you're here?""   ""Bad Luck I Guess...""",Trailer & Hype,0.0
OMG FUCK LEAKERS,Rilis Game,-1.0
Rockstar said fuck it we’re posting it now 😭,Rilis Game,1.0
Why did it release now?????,Rilis Game,-1.0
OH SHIT,Trailer & Hype,1.0
SHITS FIRE😭😭😭😭😭😭😭 Can't wait 2025😭😭😭😭,Trailer & Hype,1.0
#trailerdayog,Trailer & Hype,1.0
"Curse you, leaker!",Rilis Game,-1.0
Wow!!! 2025!,Rilis Game,1.0
Fucking leakers ruined the fun god dammit.  I was excited to watch this with my friend who is now sleeping.,Rilis Game,-1.0
FUCK ME THAT LOOKS AMAZING,Trailer & Hype,1.0
we are so fucking back,Trailer & Hype,1.0
Oh my god…this is insane…what th,Trailer & Hype,1.0
Rockstar really said fuck it lmao  LOOKS AMAZING,Trailer & Hype,1.0
This looks much much better than expected! 🔥🔥🔥,Trailer & Hype,1.0
WHAT THE FUCK THIS IS THE GAME OF THE CENTURY WHAT THE FUCK SHIT,Trailer & Hype,1.0
THAT LOOKS FUIICKING INSANE,Trailer & Hype,1.0
What the hell I just joined it at 6 seconds and it popped up!,Trailer & Hype,1.0
THEY DROPPED IT EARLY,Rilis Game,1.0
2025,Rilis Game,0.0
It’s been a long journey with you guys. Happy to see the end of,Rilis Game,1.0
It looks amazing!!!!,Trailer & Hype,1.0
BROOOO,Trailer & Hype,1.0
IT JUST PLAYED FOR ME ON THE OFFICIAL YOUTUBE PAGE,Trailer & Hype,1.0
I WAS HERE,Trailer & Hype,1.0
NOOOOOO NOT 2025!!!! I can’t wait that long,Rilis Game,-1.0
Omg it's just come out.,Trailer & Hype,1.0
Kinda weird that they didn’t wait for tomorrow,Rilis Game,0.0
Wow,Trailer & Hype,1.0
THAT LOOKS AMAZING,Trailer & Hype,1.0
We really made it fellas,Trailer & Hype,1.0
sucks that they had to drop it because it got leaked BUT LETS GOOOOO 2025 HERE WE COME,Rilis Game,-1.0
"Rockstar released the Trailer Early, likely because of the leaks.",Rilis Game,0.0
WE ARE SO BACK BABYYYYY!!!!,Trailer & Hype,1.0
Wtf man this is crazy. NEW ERA,Trailer & Hype,1.0
Damn I wanted to watch it “live” and missed the notification but oh well. Atleast it’s here.,Trailer & Hype,0.0
If they crowd density is going to be the same we see in the trailer I'll start praying for my PS5. God I hope it's well optimized.,Gameplay,0.0
Yoooo looks sick. Shame its 2025 but fuuuuck!!! Somebody get me on board the hype train,Visual Graphic,1.0
OMG THE LIGHTING 😍😍,Visual Graphic,1.0
Sick! Can't wait for the preorders!,Rilis Game,1.0
WHAT THE FUCK,Trailer & Hype,1.0
my god the radio silence following this will be suffering,Trailer & Hype,-1.0
GTA5 might be closer to 9/11 than GTA6 is to GTA5  Blows my fuckin’ mind. Its been so long…,Nostalgia,-1.0
graphics look amazing bar the character models they look off? like worse than RDR2. hyped asf tho,Visual Graphic,1.0
Hell yeah. I can't wait to be the best Florida Man and Woman I can be.,Plot and Character,1.0
The environment looks great but character models remind me of saints row. Not the same team as GTA V & Red dead and it shows,Visual Graphic,1.0
AYO I forget the dudes reddit name but he said it starts after with Lucia in prison he was right,Plot and Character,1.0
The trailer looks awesome! Every scene looks absolutely perfect!,Trailer & Hype,1.0
1.2 Million likes in first couple of minutes. Holy shit!,Trailer & Hype,1.0
Holy fucking shit,Trailer & Hype,1.0
"Coming 2025…, what we gonna do until then?",Rilis Game,0.0
This game is going to be amazing. Looking forward to playing this one for 10 years as well….🤣🤙,Trailer & Hype,1.0
It’s real ladies and gentlemen. And I am in fucking awe.,Trailer & Hype,1.0
"2025 is a little bit of a bummer but at the same time, I'd rather them take their time developing the game and making it the best it could possibly be, rather then rushing it out.",Rilis Game,-1.0
Ngl it’s kinda lame that they had to release it early because of the leaks.   But this looks incredible! It’s been a long time coming and it’s time to get excited!,Rilis Game,-1.0
"Bad luck, I guess…",Trailer & Hype,-1.0
The cinematics looks cool but I'll wait for gameplay and player reviews 4-5 months after the honeymoon period ends. Starfield disappointment made it clear for me to avoid another hype train.,Visual Graphic,1.0
#trailerdayog   Holy shit this looks fantastic,Trailer & Hype,1.0
"A shame about the leaks. People have no patience I stg. I have to say though It’s pretty surreal to actually see this trailer. After years of leaks and rumors, it’s just insane and hard to believe.",Trailer & Hype,1.0
Didn't someone make a prediction on here not long ago about a man trying to pull an alligator out of a swimming pool?,Plot and Character,0.0
Currently uploading my reaction video onto YouTube. I'm still in a state of utter and complete shock.  To quote Jodie Foster from Contact: No - no words. No words to describe it. Poetry! They should have sent a poet. So beautiful. So beautiful...,Trailer & Hype,1.0
Graphics look really fucking good and the map looks huge,Visual Graphic,1.0
"I was here, everybody waited for this moment… Jesus",Trailer & Hype,1.0
Next gen strip club gonna hit different,Plot and Character,1.0
Looks insane,Trailer & Hype,1.0
Hell it looks good,Trailer & Hype,1.0
We’ve made it,Trailer & Hype,1.0
"I expected that we would have to wait quite a while for the game release, but over a year away still? Ugh. I know it’s going to be amazing, but I wish developers wouldn’t release trailers until the games are like 6 months out or less.",Rilis Game,-1.0
There was twerking twice in the trailer which tells me this will be the primary game mechanic.,Plot and Character,1.0
This looks so beautiful 😭😭😭,Visual Graphic,1.0
#Trailerdayog,Trailer & Hype,1.0
We made it people  Damn I want to cry right now,Trailer & Hype,1.0
![gif](giphy|dMn6DpYvzeKJ1UTar6|downsized)  The leakers house RN,Rilis Game,-1.0
i’m crying they said if u want the trailer so bad then take it,Rilis Game,-1.0
"The graphics and the city looks really good!  But I'm not excited AT ALL, this looks like the most zoomer thing that ever zoomed and I'm a zoomer, like ok cool I'll continue with my day I guess",Visual Graphic,1.0
"Graphic wise I get some cyberpunk vibes, anyway never seen facial and body animation like these, even in RDR2",Visual Graphic,1.0
Aka Florida Man Simulator,Plot and Character,1.0
logo was a bit fan-made ish,Visual Graphic,-1.0
I hope we can fill up our cars with gasoline. I want to choose what type of fuel to use as well. I can’t wait,Gameplay,1.0
"This doesn’t feel real rn, I have a lot of thoughts already on how vibrant this game looks. Seems liek it’s focused more in modern day technology with the social media interactions, the cars look awesome too. Everything about this trailer gets me hyped, just wish it wasn’t 2025 release date but hopefully it’s early 2025",Visual Graphic,1.0
The glocks are back,Gameplay,1.0
This looks incredible as expected. I Feel sorry for Rockstar though that they didn't get to put out the trailer when they wanted to. Fuck that leaker.,Trailer & Hype,1.0
"That was badass, but some of my friends immediately took a dislike to the graphics and the trailer as a whole.  This is why you shouldn't have set the bar so high for yourselves.  I loved it!!!  The cars look super cool and I'm super happy to see the tulip in rdr2 lighting.  I'm excited!",Trailer & Hype,1.0
"3/4s of those fan-made logos were actually on point, can't believe it",Visual Graphic,1.0
I'm so hard right now,Trailer & Hype,1.0
"im was crying watching it holy fuck its so good i cant believe it, i had it on the background and i was doing something when it was playing through my headphones so i checked what it was and FUCKING GTA 6 WAS PLAYING and i almost had a seizure",Trailer & Hype,1.0
The whole in game TikTok thing looks to have insane potential,Gameplay,1.0
The reason some of you feel it’s weird is cause GTA is breaking the uncanny valley. The character’s eyes appear to lock onto things like real people. This is insane.,Plot and Character,1.0
"Man, fucking 10 years and it looks like the wait has been worth it.  LET'S FUCKING GO",Trailer & Hype,1.0
I’m from Miami. This looks so accurate.,Visual Graphic,1.0
This is a sub for a real game now,Gameplay,1.0
SCREAMING,Trailer & Hype,1.0
#I ONLY SEE BOOBS AND ASS,Plot and Character,-1.0
"2025, thank you Rockstar for giving me more time to prepare and buy a new pc rig or a console. The trailer looks sick!",Rilis Game,1.0
I WAS HERE. THIS IS MADNESS. THIS IS CHAOS.,Trailer & Hype,1.0
They nailed Florida.,Plot and Character,1.0
Over a decade after GTA V and it looks the same… *sigh*,Visual Graphic,-1.0
That Tom Petty song about to get 10 million plays on Spotify.,Trailer & Hype,0.0
Let’s pour one out for those that couldn’t be here with us on this special day,Trailer & Hype,1.0
"is this in engine, wtf man am shocked...",Visual Graphic,0.0
Look who's back,Trailer & Hype,1.0
We can finally rest,Trailer & Hype,1.0
"If ""Florida Man"" was a video game. Let's go motherfuckers.",Trailer & Hype,1.0
"So one thing I caught, I think the state is called Leonida and not Florida. One of the social media parodies in the trailer makes reference to “Leonida Man” like the Florida Man meme.   Makes sense considering the political climate in the US right now, but I thought it was interesting since Florida is actually the state name in typical GTA canon.",Plot and Character,0.0
Fuck leakers,Rilis Game,-1.0
I’m happy that there’s representation for a woman mc but man… is prostitution just a non factor now? I’m not tryna get my back blown out,Plot and Character,0.0
"Damn, I was in elementary school when gta5 came out, and by the time gta6 comes out I'll have my bachelors degree.",Nostalgia,1.0
Going to be amazing,Trailer & Hype,1.0
Man how tf is everything getting leaked?,Rilis Game,-1.0
"Damn it looks absolutely amazing, I was SO confused when I got the notification tho lmao",Visual Graphic,1.0
![gif](giphy|UPYHufWODvLOvJlHOE)  See you in 2025,Rilis Game,0.0
Noooooo fucking waaay!,Trailer & Hype,1.0
2025!? Oh my god..,Rilis Game,-1.0
I’ve ascended,Trailer & Hype,1.0
That release date is fucking ridiculous. Killed a lot of my hype tbh,Rilis Game,-1.0
"It's a good thing this will release in 2025, just like RDR2 this will change the barriers of gaming and I personally cannot fucking wait for it.",Rilis Game,1.0
"Looks so dense. Full of cars, full of people. This game will be absolute chaos on a totally new level.",Gameplay,1.0
"Yeah, after seeing this I don’t think GTA online is ending anytime soon I’m not sure why people think it was going to end this year if we’re not going to get this game until 2025…",Rilis Game,0.0
Is this based on Florida,Plot and Character,0.0
The jiggle physics on that girl twerking are amazing,Plot and Character,1.0
"Is it just me or has Rockstar completely replaced Bryan Zampella's motion capture performance in the game?  Was he scamming us the whole time, or did R* get fed up with him promoting himself so outwardly for so long as part of the game without permission?",Plot and Character,0.0
I feel sooo bad for rockstar.  BUT THE GAME LOOKS SO GOOD BRO WTF,Rilis Game,-1.0
LETS GOOOOOOOOO ITS HISTORY SZN BOYS GET IN HERE,Trailer & Hype,1.0
Is there any hope that South America will be on the map?,Gameplay,0.0
Jesus Christ it's beautiful....,Visual Graphic,1.0
"keep in mind yall, rockstars trailers are ingame footage",Visual Graphic,1.0
It looks so good! Sad that it leaked tho #trailerdayog,Visual Graphic,1.0
"Hell yeah looks great, All the random Florida events definitely helped give it life lmao",Visual Graphic,1.0
Honestly can't wait! Really hoping the open world is as awesome as Red dead 2 was.,Gameplay,1.0
"Okay, waiting for the two hour analysis videos with a deep-dive into every frame",Trailer & Hype,1.0
"Literally every single frame could be a painting, unreal",Visual Graphic,1.0
I'm in love with Lucia already omg,Plot and Character,1.0
#have.a.vice.day,Trailer & Hype,1.0
Finally I can stop seeing all those shitty low quality fan made trailers and we can talk about the real deal,Trailer & Hype,1.0
*-New objective:* Stay alive till 2025.,Rilis Game,-1.0
i’m emotional,Trailer & Hype,1.0
"Looks awesome! Seems like the main 2 characters are in a relationship, which should add an interesting dynamic. First female protag too, which is cool. Looking forward to seeing more!",Plot and Character,1.0
"for a company that prides themselves on secrecy they really dropped the ball with this game icl. also anyone else not think after 10 years they could've been a bit more specific than ""2025""",Rilis Game,-1.0
#trailerdayOG That was insane! About to watch this about 1000 more times.,Trailer & Hype,1.0
"smash - smash - smash - smash - smash - pass on that granny - smash - that's it, thank you",Gameplay,1.0
What is the song?,Trailer & Hype,0.0
I feel someone predicted the logo. where is the compilation in r/gta6?,Trailer & Hype,0.0
Leaving this comment so my children will know I was here 😭,Trailer & Hype,1.0
"Tom Petty and the Heartbreakers as the soundtrack? Oh, I'm in.",Nostalgia,1.0
Gators HOLY FUCK GUYS IM CRYING,Trailer & Hype,1.0
THE CITY LOOKS FUCKING HUGE,Gameplay,1.0
2025 kinda threw water on my hype,Rilis Game,-1.0
Welcome to Vice City BABY!,Nostalgia,1.0
We are so fucking back,Trailer & Hype,1.0
That is legitimately one of the most impressive trailers I’ve ever seen. As soon as it showed the beach and NPC variety my mouth dropped.  My expectations got blown out of the water,Trailer & Hype,1.0
It was a pleasure to be on this journey with all of you,Trailer & Hype,1.0
Absolute insanity,Trailer & Hype,1.0
IM GONNA COME,Trailer & Hype,1.0
"God damn, 2025. How will they milk out the final year+ of GTA V?",Rilis Game,-1.0
Hello history books🤗,Nostalgia,1.0
IT DROPPED early les go,Trailer & Hype,1.0
omgomgomg,Trailer & Hype,1.0
Hmm. Interesting thing I noticed about the artwork is Lucia with an ankle monitor it seems.,Plot and Character,0.0
This shit looks so dope lol,Trailer & Hype,1.0
looks shit,Trailer & Hype,-1.0
I can’t believe it!!! #trailerdayog,Trailer & Hype,1.0
trailerdayog,Trailer & Hype,1.0
Leaving my mark I was here to see the gta 6 trailer,Trailer & Hype,1.0
WE WERE HERE THE WHOLE TIME BOYZZZZ,Trailer & Hype,1.0
"Lfg. Been waiting so long for this guys!!! The game looks great!! Seems like it’ll be a Bonnie and Clyde type relationship between our two main characters, let’s go!!",Trailer & Hype,1.0
History in the making,Trailer & Hype,1.0
I don't know why exactly but im really happy It's called VI and not just *Grand Theft Auto*,Nostalgia,1.0
Wow this is completely different than what I imagined,Trailer & Hype,0.0
Ha dudes above me in my apartment seem to be watching the trailer too because I just heard a very audible WTF 2025 from upstairs,Rilis Game,-1.0
Lucia is so fine bru.,Plot and Character,1.0
Also is it just me or does Jason look like Jon bernthal?  Especially the side profile.,Plot and Character,0.0
"I'm not even mad that it's a 2025 release date, it saves me some money not having to buy a PS5 soon lmao",Rilis Game,1.0
HOLY SHIT.,Trailer & Hype,1.0
Goes harddddd,Trailer & Hype,1.0
AND IT WAS BEAUTIFULLLL!!!,Visual Graphic,1.0
No cocaine?!   Pshh! that aint the miami I know.,Nostalgia,-1.0
God this looks like a movie,Visual Graphic,1.0
">Coming 2025  So late 2026, then.",Rilis Game,-1.0
Loving the parallel with the GTA V trailer in the first line.  GTA V: “Why Did I Move Here?”  GTA VI: “Do You Know Why You’re Here?”,Nostalgia,1.0
Why am I crying?????,Trailer & Hype,1.0
Sucks they had to release it early but it looks so fucking good!,Rilis Game,-1.0
It's everything I hoped for! 🌴,Trailer & Hype,1.0
"This looks even better than I expected. The wait will be painful, but it'll be worth every damn minute.",Trailer & Hype,1.0
I’m taking my talents to South Beach,Plot and Character,1.0
The graphics and movement remind me of a pixar film.  I’m saying this as a huge W,Visual Graphic,1.0
TRAILERDAYOG,Trailer & Hype,1.0
2025?? I think I can hold out one more year after seeing this,Rilis Game,1.0
WHAAAT THE FUCK WE GOT PLAYED LIKE A DAMN FIDDLE,Trailer & Hype,-1.0
GODDAMN IT LOOKS MARVELOUS LUCIA MARRY ME PLS,Plot and Character,1.0
"It was an honor, everyone. 🫡",Trailer & Hype,1.0
Game is 2 years away,Rilis Game,-1.0
Holy shit!,Trailer & Hype,1.0
Is that Jake skully?,Plot and Character,0.0
"I love how whoever said Genesis was going to be the music for the trailer is wrong, Tom Petty for the win",Trailer & Hype,1.0
"2025 release date... Not even a season given. We're in for a potential two year wait, maybe more... Oh damn.",Rilis Game,-1.0
So far Rockstar is closer to sucking my nuts unless they state that PC will get same release day as consoles,Rilis Game,-1.0
"We are witnessing history, this is extra-ordinary, I cannot fucking believe this is actually happening!",Trailer & Hype,1.0
"I watched with the countdown, I nearly had a heart attack when it started",Trailer & Hype,1.0
SOMEONE FAST FIND WHO THE VOICE ACTORS ARE,Plot and Character,0.0
Im fucking sad and angry but happy at the same time shame to those fucking leakers,Rilis Game,-1.0
omg omg omg omg omg omg,Trailer & Hype,1.0
HOLY SHIT THE WORLD LOOKS SO ALIVE !,Visual Graphic,1.0
This is monumental,Trailer & Hype,1.0
Wtf. Was just scrolling youtube and the trailer pops up. Thought I was hallucinating or there was some crazy glitch going on. Still kinda in shock that I've just seen the trailer for GTA 6.,Trailer & Hype,1.0
holy shit it looks so fucking amazing,Trailer & Hype,1.0
Love is A Long Road by Tom Petty being the trailer music is the best thing ever I fucking love it,Trailer & Hype,1.0
Vice City is fucking baaaaack,Nostalgia,1.0
I'm the #1 Lucia stan,Plot and Character,1.0
Looks amazing but i feel bad for the devs,Trailer & Hype,1.0
Really hope they have some nerd of a data miner/ leaker to mock in the game,Plot and Character,1.0
Holy shit Im going to Watch it Now For the first time,Trailer & Hype,1.0
I was here!,Trailer & Hype,1.0
mods after about an hour or two u should make another thread and call it like 'serious post trailer discussion' so after the hype dies down we can talk about it a bit more without so many spammy comments,Trailer & Hype,0.0
Is that the voice actor for mason?,Plot and Character,0.0
AAAAAAAAAAAAAAAA,Trailer & Hype,1.0
2025 NOOOO,Rilis Game,-1.0
"I knew it would be 2025, but I was so mad when I saw 2025. Damn this is gonna be a long wait",Rilis Game,-1.0
"as someone who’s born and raised in miami, wow they nailed the environment from this trailee",Visual Graphic,1.0
Absolutely gonna be an animal control sidequestline yeah? That shit would be fun.,Gameplay,1.0
"i can see the story actually being quite deep, cause love is a long road after all",Plot and Character,1.0
Now cue the plethora of YouTube videos examining every single frame. I’ll watch them.,Trailer & Hype,1.0
"First thing i am doing is looking for Dexter's Apartment, it better be in  the game",Nostalgia,1.0
_OMG IT'S HAPPENING_,Trailer & Hype,1.0
"Dude I was going to go to sleep an hour ago but I decided to stay up late… I’m sitting in bed and a notification pops up and the countdown is on the screen, I almost shit myself and I watched it so damn giddy, to think I almost didn’t see it live",Trailer & Hype,1.0
Got excited till I saw 2025 DAMN GOTTA WAIT LONGER. Atleast we have a year.,Rilis Game,-1.0
Praise Odin for these leaks,Rilis Game,1.0
"This is just my opinion but, this doesn't look like Rockstar... Cinematography feels odd, great graphics but no personality, no atmosphere, totally generic. Also, the logo is awful.",Visual Graphic,1.0
"Feel bad for Rockstar. I'm all for leaks, but leaking the trailer a day early with a shitty watermark for bitcoin is just trash. Even their reply to the leak is just saddening.",Rilis Game,-1.0
God it looks beautiful,Visual Graphic,1.0
Most realistic video game I've ever seen,Visual Graphic,1.0
and now the thing im most curious about is if they meet during the game? knew each other already? were together already?  and by the looks of it lucia is more central than jason,Plot and Character,0.0
"I seriously hope they somehow *intended* this or some of the leaks. Because if nothing was intended, RS is continually fucked over by this shit, imagine being a dev and working so hard on this *obvious* masterpiece only for someone to steal your thunder from under you. That's messed up.",Rilis Game,-1.0
I can't believe it. My expectations were so low. It looks so good.,Trailer & Hype,1.0
"The [City Girls](https://upload.wikimedia.org/wikipedia/commons/f/f6/City_Girls_July_2018.png) (a parody of them) made a cameo at the 0:47 mark, fitting since they are from Miami.",Plot and Character,1.0
Did the trailer give anyone else saints row reboot vibes? Im worried,Trailer & Hype,-1.0
The moment got ruined 😭,Trailer & Hype,-1.0
The city looks perfect. Has that dirty gritty feeling but ALOT of character. Man what a time.,Visual Graphic,1.0
Now I've just got to live till 2025. Bruh.,Rilis Game,-1.0
"Judging by the trailer it's clear Lucia is the ""main"" protagonist which I wasn't expecting.",Plot and Character,0.0
"76K views in 25 mins makes me a bit sad, i thought it’d be in the millions by now… lets not let rockstar down by watching it outside of their channel, for now out least",Trailer & Hype,-1.0
"I’m so delusional. I’m hoping that instead of a 2025 release date, it’ll be released next year (in a fashion I imagine is a calculated length of time based on from this trailer release schedule to its actual release converted into the 2025 game release schedule to a 2024 game release) and that they’re really just punking us because they know they can. A girl can dream though, right?   Also if anyone is really good at math, can possibly get a breakdown on a possible date for *funzies* please?",Rilis Game,1.0
Am I the only one who thinks that Jason looks a little bit like Arthur Morgan?,Plot and Character,0.0
Just gotta sleep for a year now,Trailer & Hype,1.0
This is absolutely crazy and historic lol,Trailer & Hype,1.0
Loved the TikTok/IG clips lmao,Trailer & Hype,1.0
Some of yall need to check your eyes. That looked so good.,Visual Graphic,1.0
"The world feels so alive holy sh*t , this game is going to surpass any expectations",Gameplay,1.0
"Now i gotta stay alive till 2025, fuck me man.  Looks insane tho",Rilis Game,-1.0
GTA 7 when?,Rilis Game,0.0
The date broke my heart a little bit,Rilis Game,-1.0
"Aw shit, here we go again.",Trailer & Hype,1.0
"That was actually really fucking good looking damn, they cooked",Visual Graphic,1.0
I consider myself very lucky to witness this incredible moment!!!!!,Trailer & Hype,1.0
THATS THE FUCKING GAME ENGINE,Visual Graphic,1.0
"Exceeded my expectations. I'm sure Rockstar is disappointed about the leak but they should be beyond proud of what they created.   Oh, and Tom Petty is a perfect artist choice for a trailer song.",Trailer & Hype,1.0
My expectations are blown away,Trailer & Hype,1.0
Let's go,Trailer & Hype,1.0
this is nuts dude,Trailer & Hype,1.0
"Man, i was about to jerk off, but then trailer rolled out, wtf???",Trailer & Hype,1.0
I expected more,Trailer & Hype,-1.0
AYEEEE THIS LOOKS AMAZING,Trailer & Hype,1.0
I had the premiere playing in the background and this scared the shit out of me💀,Trailer & Hype,1.0
🤯🤯🤯🤯🤯 when I imagined next gen graphics THIS is what I had in mind! Amazing 🔥,Visual Graphic,1.0
OMG it looks so good 😭😭😭,Trailer & Hype,1.0
Just gotta survive till then,Rilis Game,0.0
The whole social media aspect is interesting. I bet when your wanted level is high enough npcs will recognise who you are and start recording you,Gameplay,1.0
Looks like the state is called Leonida instead of Florida now,Gameplay,0.0
I thought that it was an error and recorded it LMAO. It looks amazing  PS: Fuck the leaker and RIP my pc.  \#trailerdayog,Trailer & Hype,1.0
Surprised Tom Petty was the choice of music. But im here for it.  He is a Florida Man,Trailer & Hype,1.0
I thought it wasn’t real…  #HOLY PISS IT LOOKS AWESOME!!!!!!,Trailer & Hype,1.0
We still have no idea for what system the game is coming too 🤣,Rilis Game,0.0
I stopped helping customers to watch this shit,Trailer & Hype,1.0
"10 years of waiting and it’s finally hear. Can’t wait to experience the toxicity, the anger, the pain, but most importantly, the fun of GTA 6 online. Let’s hope the oppressor doesn’t return! But on a serious note, the trailer is Kino",Rilis Game,1.0
HOLY SHIT!,Trailer & Hype,1.0
I’m gonna need a breakdown of every frame holy shit it looks amazing,Visual Graphic,1.0
I can’t believe we’re here,Trailer & Hype,1.0
"Glad I got to experience this with my mother. Sucks it leaked early. And yeah, I did take a peak before the official thing was posted.",Trailer & Hype,1.0
Daaaaaaamn,Trailer & Hype,1.0
Soo ur telling me theat this lazy company been working on this game for 10 years to make this garbage,Rilis Game,-1.0
bro Vice City at night is so good,Visual Graphic,1.0
insane,Trailer & Hype,1.0
"The # of NPCs, animals, and vehicles on screen is amazing.",Gameplay,1.0
I'm actually so hyped. I'm going to have to save up for a new graphics card from the looks of things.   Animals look amazing - flamingos and all.,Visual Graphic,1.0
I can already tell this story is going to break my heart,Plot and Character,-1.0
We’ve waited 10 years… what’s another 2 😂,Rilis Game,1.0
Holy shit,Trailer & Hype,1.0
So excited now I really hope it’s Spring 2025 not Autumn,Rilis Game,1.0
"Bruh I got a notification on Youtube and brushed it off.. I was like, yeah no need to notify me today lmao.",Trailer & Hype,0.0
Would love it if it dropped right around June 29th 2025 for my 40th birthday! I can't fucking wait!,Rilis Game,1.0
"LADIES AND GENTLEMEN, WE ARE HERE , THIS IS IT , IT IS THIS, HOLY SHIT THIS GAME LOOKS FUCKING PHENOMENAL!!!! The city looks so damn alive, Jason and Lucia look AMAZING. 100x better than the leaks ( not that it wasn’t expected, but i was blown away by the difference) all those npc !!! Modern Vice City with Florida crazy shit ? YES . YES . YES. We need this shit NOWWWW😩 lol on a serious note I am more than willing to wait till 2025 for this, obviously didn’t show much from the story, but from what I can tell it seems to be trying to tell a bit more of a serious story !! Which idk about you guys was exactly what I was hoping for ! Dont get me wrong I want the classic GTA humor in there too, but I am legit not disappointed by 1 single thing I’ve seen in this trailer. I’ve already watched it 3 times and I’ll probably watch it 5 more times before the night is done 😂 holy shit. I know I keep saying that but like, holy shiiiiit. Also, it looked like Lucia was meeting up with a probation officer at the beginning of the trailer? That leak about her having a baby could possibly be true",Trailer & Hype,1.0
YOU CAN FUCKING DONK YOUR CAR!! So dope!,Gameplay,1.0
2024ists on death watch ☠️☠️☠️,Rilis Game,-1.0
"Sucks that it got leaked, but I'm still glad to see the trailer.",Rilis Game,-1.0
Fuck yeah!!,Trailer & Hype,1.0
I’m watching frame by frame,Visual Graphic,0.0
So now that we finally got this over with we can focus on the future. Any speculations on what we might get in GTA7?,Nostalgia,1.0
What happened?,Trailer & Hype,0.0
I can’t believe I just watched that. Feels unreal.,Trailer & Hype,1.0
"Amazing, it’s has been honor comrades",Trailer & Hype,1.0
"Looks like a cgi cutscene, the fact that this is probably gameplay we are seeing is mind blowing.",Visual Graphic,0.0
It's a shame someone had to leak it. Rockstar had no choice but to release it early on YouTube. Anyway I'm hyped!!!,Rilis Game,-1.0
I was here.,Trailer & Hype,1.0
